date,price,open,high,low,vol,change
25-03-2008,141.09,136.7,143.18,136.2,8.77M,0.05
24-03-2008,133.89,128.23,134.8,128.23,6.44M,0.05
19-03-2008,126.98,127.22,133.2,124.22,12.65M,0.03
18-03-2008,122.82,122.13,123.53,116.3,12.11M,0.00
17-03-2008,122.33,124.22,127.22,119.23,8.64M,-0.07
14-03-2008,131.25,129.21,132.3,127.22,4.50M,0.01
13-03-2008,129.63,133.7,134.2,128.28,4.28M,-0.05
12-03-2008,136.75,139.09,143.66,134.34,6.24M,0.03
11-03-2008,133.02,128.22,134.8,126.74,10.38M,0.02
10-03-2008,130.86,126.22,132.56,122.24,7.78M,0.02
07-03-2008,127.94,132.7,132.7,125.42,9.19M,-0.04
05-03-2008,132.98,133.9,134.87,131.73,6.22M,-0.01
04-03-2008,134.87,139.19,139.19,129.04,8.48M,-0.03
03-03-2008,138.68,142.68,142.68,135.91,5.09M,-0.05
29-02-2008,145.35,145.68,147.1,140.86,6.85M,-0.01
28-02-2008,146.93,146.56,148.77,144.88,6.25M,0.01
27-02-2008,144.91,146.67,148.33,143.81,4.61M,0.00
26-02-2008,145.17,144.68,146.62,144.18,6.18M,0.02
25-02-2008,141.86,149.56,150.64,139.23,13.66M,-0.04
22-02-2008,147.1,146.71,153.63,145.68,4.72M,-0.04
21-02-2008,153.74,153.66,156.65,149.38,2.99M,0.00
20-02-2008,153.38,156.65,156.65,150.56,3.97M,-0.02
19-02-2008,156.84,159.25,159.42,155.17,2.74M,0.01
18-02-2008,155.34,157.45,158.65,153.69,1.74M,0.00
15-02-2008,155.88,151.66,157.15,148.9,5.44M,0.02
14-02-2008,153.3,149.57,155.15,149.57,6.33M,0.05
13-02-2008,146.52,143.66,148.47,142.68,5.84M,0.04
12-02-2008,140.45,142.68,144.18,138.32,4.63M,0.00
11-02-2008,140.76,143.87,146.57,134.77,6.93M,-0.02
08-02-2008,143.87,148.77,149.97,141.98,3.88M,-0.03
07-02-2008,148.85,149.57,150.86,147.87,16.72M,-0.01
06-02-2008,149.68,149.66,151.14,144.82,7.87M,-0.01
05-02-2008,150.89,155.65,159.39,149.69,6.07M,-0.02
04-02-2008,154.4,162.02,162.02,152.26,5.49M,-0.02
01-02-2008,156.75,157.15,157.93,148.19,7.29M,0.00
31-01-2008,156.61,153.86,158.64,151.17,6.40M,0.02
30-01-2008,152.95,157.05,157.05,150.17,3.97M,0.00
29-01-2008,153.39,159.52,162.34,149.69,6.10M,-0.03
28-01-2008,158.67,154.66,159.64,142.68,5.96M,-0.01
25-01-2008,160.49,154.06,167.63,152.17,6.07M,0.07
24-01-2008,150.7,152.66,163.34,147.17,8.14M,-0.02
23-01-2008,153.09,151.56,169.62,137.69,9.33M,0.08
22-01-2008,142.32,149.56,177.6,134.8,11.65M,-0.05
21-01-2008,150.38,158.65,158.65,147.67,7.43M,-0.04
18-01-2008,156.75,157.76,162.24,155.21,9.97M,-0.04
17-01-2008,163.99,165.84,166.43,160.86,13.36M,-0.02
